unnamed: 0,job title,job type,company name,posted date,cities,states,stipend,start date,duration,numer of openings,late date to apply,combined_text
1568,IEC INTERN,Part Time,NAGAR PANCHAYAT MASWASI,28-04-2023,Rampur,Uttar Pradesh,Unpaid,Immediately,8 Weeks,1.0,29-04-2023,IEC INTERN NAGAR PANCHAYAT MASWASI Rampur Uttar Pradesh Unpaid 8 Weeks
1569,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,NP Dahgawan,28-04-2023,Badaun,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,25-05-2023,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN NP Dahgawan Badaun Uttar Pradesh Unpaid 2 Months
1570,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Part Time,NAGAR PALIKA PARISHAD SIRSAGANJ,28-04-2023,Firozabad,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,05-05-2023,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0 NAGAR PALIKA PARISHAD SIRSAGANJ Firozabad Uttar Pradesh Unpaid 2 Months
1571,CLEANLINESS EXPOSURE,Full Time,NAGAR PANCHYAT MAHUL AZAMGARH,28-04-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,1 Months,5.0,30-04-2023,CLEANLINESS EXPOSURE NAGAR PANCHYAT MAHUL AZAMGARH Azamgarh Uttar Pradesh Unpaid 1 Months
1572,CLEANLINESS EXPOSURE,Full Time,NAGAR PANCHAYAT PHOOLPUR,28-04-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,1 Months,5.0,30-04-2023,CLEANLINESS EXPOSURE NAGAR PANCHAYAT PHOOLPUR Azamgarh Uttar Pradesh Unpaid 1 Months
1573,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Part Time,NAGAR PALIKA PARISHAD PILIBHIT,28-04-2023,Pilibhit,Uttar Pradesh,Unpaid,Immediately,12 Weeks,4.0,05-05-2023,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN NAGAR PALIKA PARISHAD PILIBHIT Pilibhit Uttar Pradesh Unpaid 12 Weeks
1574,OFFICE WORK,Full Time,Nagar Panchayat Iglas,28-04-2023,Aligarh,Uttar Pradesh,Unpaid,Immediately,2 Months,2.0,05-05-2023,OFFICE WORK Nagar Panchayat Iglas Aligarh Uttar Pradesh Unpaid 2 Months
1575,OFFICE WORK,Full Time,Nagar Panchayat Iglas,28-04-2023,Aligarh,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,05-05-2023,OFFICE WORK Nagar Panchayat Iglas Aligarh Uttar Pradesh Unpaid 2 Months
1576,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Panchayat Nawabganj,28-04-2023,Nawabganj,Uttar Pradesh,10000 /month,Immediately,1 Months,1.0,28-04-2023,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN Nagar Panchayat Nawabganj Nawabganj Uttar Pradesh 10000 /month 1 Months
1577,IT INTERN,Full Time,NAGAR NIGAM GORAKHPUR,28-04-2023,Gorakhpur,Uttar Pradesh,Unpaid,Immediately,2 Months,2.0,06-05-2023,IT INTERN NAGAR NIGAM GORAKHPUR Gorakhpur Uttar Pradesh Unpaid 2 Months
1578,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION  URBAN,Full Time,Nagar Panchayat Kusmara,28-04-2023,Kusmara,Uttar Pradesh,Unpaid,Immediately,1 Weeks,5.0,11-05-2023,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION  URBAN Nagar Panchayat Kusmara Kusmara Uttar Pradesh Unpaid 1 Weeks
1579,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION  URBAN,Full Time,Local Bodies,28-04-2023,Mainpuri,Uttar Pradesh,Unpaid,Immediately,1 Weeks,5.0,01-05-2023,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION  URBAN Local Bodies Mainpuri Uttar Pradesh Unpaid 1 Weeks
1580,OFFICE WORK,Full Time,Nagar panchayat chharra district aligarh,29-04-2023,Aligarh,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,30-06-2024,OFFICE WORK Nagar panchayat chharra district aligarh Aligarh Uttar Pradesh Unpaid 2 Months
1581,SBM INTERNSHIP,Full Time,Nagar Palika Parishad Pukhrayan,29-04-2023,Bhognipur,Uttar Pradesh,Unpaid,Immediately,2 Months,2.0,05-05-2023,SBM INTERNSHIP Nagar Palika Parishad Pukhrayan Bhognipur Uttar Pradesh Unpaid 2 Months
1582,COMPUTER OPERATOR,Full Time,Nagar Panchayat Shergarh,29-04-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,1 Months,2.0,30-04-2023,COMPUTER OPERATOR Nagar Panchayat Shergarh Bareilly Uttar Pradesh Unpaid 1 Months
1583,SBM INTERNSHIP,Full Time,NAGAR PANCHAYAT MOHAMMDABAD,29-04-2023,Farrukhabad,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,05-05-2023,SBM INTERNSHIP NAGAR PANCHAYAT MOHAMMDABAD Farrukhabad Uttar Pradesh Unpaid 1 Months
1584,SBM-U,Full Time,Nagar Panchayat Siwalkhas,29-04-2023,Meerut,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,26-04-2024,SBM-U Nagar Panchayat Siwalkhas Meerut Uttar Pradesh Unpaid 2 Months
1585,SBM INTERNSHIP,Full Time,NAGAR PANCHAYAT KAMALGANJ,29-04-2023,Kamalganj,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,05-05-2023,SBM INTERNSHIP NAGAR PANCHAYAT KAMALGANJ Kamalganj Uttar Pradesh Unpaid 1 Months
1586,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Part Time,NAGAR PALIKA PARISHAD SARSAWA,29-04-2023,Saharanpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,31-05-2023,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN NAGAR PALIKA PARISHAD SARSAWA Saharanpur Uttar Pradesh Unpaid 1 Months
1587,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,NAGAR PALIKA PARISHAD CHUNAR,29-04-2023,Chunar,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2.0,20-05-2023,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN NAGAR PALIKA PARISHAD CHUNAR Chunar Uttar Pradesh Unpaid 8 Weeks
1588,COMPUTER OPERATOR & IEC,Part Time,NAGAR PANCHAYAT MEERGANJ BAREILLY,29-04-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,20-05-2023,COMPUTER OPERATOR & IEC NAGAR PANCHAYAT MEERGANJ BAREILLY Bareilly Uttar Pradesh Unpaid 1 Months
1589,SWACHH BHARAT MISSION INTERNS,Full Time,NAGAR PANCHAYAT PRITHVIGANJ,29-04-2023,Pratapgarh,Uttar Pradesh,Unpaid,Immediately,2 Months,2.0,31-05-2023,SWACHH BHARAT MISSION INTERNS NAGAR PANCHAYAT PRITHVIGANJ Pratapgarh Uttar Pradesh Unpaid 2 Months
1590,COMPUTER OPERATOR(INTERN),Part Time,Nagar Panchyat Fatehganj Purvi,29-04-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,1 Months,2.0,15-05-2023,COMPUTER OPERATOR(INTERN) Nagar Panchyat Fatehganj Purvi Bareilly Uttar Pradesh Unpaid 1 Months
1591,FIELD ENGINEER (TRAINEE),Full Time,Ghaziabad Municipal Corporation,29-04-2023,Ghaziabad,Uttar Pradesh,Unpaid,Immediately,1 Months,7.0,01-06-2023,FIELD ENGINEER (TRAINEE) Ghaziabad Municipal Corporation Ghaziabad Uttar Pradesh Unpaid 1 Months
1592,SWACHH BHARAT MISSION INTERNS,Full Time,BHATPAR RANI,29-04-2023,Deoria,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,21-10-2024,SWACHH BHARAT MISSION INTERNS BHATPAR RANI Deoria Uttar Pradesh Unpaid 2 Months
1593,SWACCH BHARAT MISSION URBAN,Full Time,NAGAR PANCHAYAT AWAGARH DISTRICT ETAH,29-04-2023,Awagarh Etha,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,10-05-2023,SWACCH BHARAT MISSION URBAN NAGAR PANCHAYAT AWAGARH DISTRICT ETAH Awagarh Etha Uttar Pradesh Unpaid 2 Months
1594,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,Nagar Palika Parishad Mirzapur,29-04-2023,Mirzapur,Uttar Pradesh,Unpaid,Immediately,8 Weeks,3.0,20-05-2023,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN Nagar Palika Parishad Mirzapur Mirzapur Uttar Pradesh Unpaid 8 Weeks
1595,SOCIAL MEDIA HANDLING,Full Time,Nagar Palika Parishad Seohara,29-04-2023,Bijnore,Uttar Pradesh,Unpaid,Immediately,2 Months,2.0,10-05-2023,SOCIAL MEDIA HANDLING Nagar Palika Parishad Seohara Bijnore Uttar Pradesh Unpaid 2 Months
1596,URBAN DEVELOPMENT INTERN,Full Time,Nagar Panchayat Amethi Amethi,29-04-2023,Amethi,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,02-05-2023,URBAN DEVELOPMENT INTERN Nagar Panchayat Amethi Amethi Amethi Uttar Pradesh Unpaid 1 Months
1597,INTERNS FOR ASSISTING IN SANITATION SWACHH BHARAT MISSION (URBAN),Part Time,NAGAR PANCHAYAT DHAURATANDA,29-04-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2.0,10-05-2023,INTERNS FOR ASSISTING IN SANITATION SWACHH BHARAT MISSION (URBAN) NAGAR PANCHAYAT DHAURATANDA Bareilly Uttar Pradesh Unpaid 8 Weeks
1598,URBAN DEVELOPMENT INTERN,Full Time,Nagar Palika Parishad Jais,29-04-2023,Amethi,Uttar Pradesh,Unpaid,Immediately,1 Months,2.0,01-05-2023,URBAN DEVELOPMENT INTERN Nagar Palika Parishad Jais Amethi Uttar Pradesh Unpaid 1 Months
1599,COMPUTER OPERATOR,Full Time,ULB NPP KHAIR,29-04-2023,Khair,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,30-06-2024,COMPUTER OPERATOR ULB NPP KHAIR Khair Uttar Pradesh Unpaid 2 Months
1600,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,Nagar Panchayat Chhata,29-04-2023,Chhata,Uttar Pradesh,Unpaid,Immediately,2 Weeks,4.0,31-05-2023,SANITATION AND SOLID WASTE MANAGEMENT INTERN Nagar Panchayat Chhata Chhata Uttar Pradesh Unpaid 2 Weeks
1601,"IEC, SOLID WASTE MANAGMENT IN DHAURAHRA KHERI",Full Time,Nagar Panchayat Dhaurahra,29-04-2023,Dhaurahra,Uttar Pradesh,Unpaid,Immediately,2 Months,5.0,30-06-2024,"IEC, SOLID WASTE MANAGMENT IN DHAURAHRA KHERI Nagar Panchayat Dhaurahra Dhaurahra Uttar Pradesh Unpaid 2 Months"
1602,SWACCH BHARAT MISSION URBAN INTERNSHIP,Full Time,Nagar Palika Parishad Bilhaur,29-04-2023,Bilhaur,Uttar Pradesh,Unpaid,Immediately,3 Months,5.0,31-05-2023,SWACCH BHARAT MISSION URBAN INTERNSHIP Nagar Palika Parishad Bilhaur Bilhaur Uttar Pradesh Unpaid 3 Months
1603,SBM INTERNSHIP,Full Time,Nagar palika parishad Gangaghat Unnao,29-04-2023,Unnao,Uttar Pradesh,Unpaid,Immediately,2 Months,2.0,10-05-2023,SBM INTERNSHIP Nagar palika parishad Gangaghat Unnao Unnao Uttar Pradesh Unpaid 2 Months
1604,SBM. IC,Part Time,Nagar Panchayat Mandawar,29-04-2023,Bijnore,Uttar Pradesh,Unpaid,Immediately,8 Months,1.0,07-05-2023,SBM. IC Nagar Panchayat Mandawar Bijnore Uttar Pradesh Unpaid 8 Months
1605,SBM INTERNSHIP,Full Time,Nagar Panchayat Faridnagar,29-04-2023,Modinagar,Uttar Pradesh,Unpaid,Immediately,1 Months,5.0,06-05-2023,SBM INTERNSHIP Nagar Panchayat Faridnagar Modinagar Uttar Pradesh Unpaid 1 Months
1606,URBAN PLANNING INCLUDING TOWN PLANNING,Full Time,Municipal Corporation Ayodhya,29-04-2023,Faizabad,Uttar Pradesh,15000 /month,Immediately,12 Months,1.0,30-06-2023,URBAN PLANNING INCLUDING TOWN PLANNING Municipal Corporation Ayodhya Faizabad Uttar Pradesh 15000 /month 12 Months
1607,WATER SUPPLY,Full Time,Municipal Corporation Ayodhya,29-04-2023,Faizabad,Uttar Pradesh,15000 /month,Immediately,12 Months,2.0,30-06-2023,WATER SUPPLY Municipal Corporation Ayodhya Faizabad Uttar Pradesh 15000 /month 12 Months
1608,"PUBLIC HEALTH, SANITATION CONSERVANCY AND SOLID WASTE MANAGEMENT.",Full Time,Municipal Corporation Ayodhya,29-04-2023,Faizabad,Uttar Pradesh,10000 /month,Immediately,12 Months,3.0,30-06-2023,"PUBLIC HEALTH, SANITATION CONSERVANCY AND SOLID WASTE MANAGEMENT. Municipal Corporation Ayodhya Faizabad Uttar Pradesh 10000 /month 12 Months"
1609,COMMUNICATION INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,Nagar Palika Parishad Dataganj,29-04-2023,Badaun,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,25-05-2023,COMMUNICATION INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0 Nagar Palika Parishad Dataganj Badaun Uttar Pradesh Unpaid 2 Months
1610,SWACHH BHARAT MISSION 2.0 INTERNS,Full Time,Jabalpur Municipal Corporation,29-04-2023,Jabalpur,Madhya Pradesh,5000 /month,Immediately,1 Months,10.0,05-05-2023,SWACHH BHARAT MISSION 2.0 INTERNS Jabalpur Municipal Corporation Jabalpur Madhya Pradesh 5000 /month 1 Months
1611,SOLID WASTE MANAGEMENT TRAINEE,Part Time,Nagar Panchayat Gohand Hamirpur,29-04-2023,Gohand Hamirpur,Uttar Pradesh,Unpaid,Immediately,1 Months,2.0,10-05-2023,SOLID WASTE MANAGEMENT TRAINEE Nagar Panchayat Gohand Hamirpur Gohand Hamirpur Uttar Pradesh Unpaid 1 Months
1612,"PROVISION OF URBAN AMENITIES AND FACILITIES SUCH AS PARKS, GARDENS, PLAYGROUNDS",Full Time,Municipal Corporation Ayodhya,29-04-2023,Faizabad,Uttar Pradesh,15000 /month,Immediately,12 Months,2.0,30-06-2023,"PROVISION OF URBAN AMENITIES AND FACILITIES SUCH AS PARKS, GARDENS, PLAYGROUNDS Municipal Corporation Ayodhya Faizabad Uttar Pradesh 15000 /month 12 Months"
1613,DEVELOPMENT OF DIGITAL TOOLS AND APPS FOR E-GOVERNANCE. ASSISTING IN ICCC OPERATIONS,Full Time,Municipal Corporation Ayodhya,29-04-2023,Faizabad,Uttar Pradesh,15000 /month,Immediately,12 Months,2.0,30-06-2023,DEVELOPMENT OF DIGITAL TOOLS AND APPS FOR E-GOVERNANCE. ASSISTING IN ICCC OPERATIONS Municipal Corporation Ayodhya Faizabad Uttar Pradesh 15000 /month 12 Months
1614,MIS IT,Full Time,Municipal Corporation Ayodhya,29-04-2023,Faizabad,Uttar Pradesh,15000 /month,Immediately,12 Months,2.0,30-06-2023,MIS IT Municipal Corporation Ayodhya Faizabad Uttar Pradesh 15000 /month 12 Months
1615,PROCUREMENT,Full Time,Municipal Corporation Ayodhya,29-04-2023,Faizabad,Uttar Pradesh,15000 /month,Immediately,12 Months,1.0,30-06-2023,PROCUREMENT Municipal Corporation Ayodhya Faizabad Uttar Pradesh 15000 /month 12 Months
1616,SOCIAL WORK,Full Time,Municipal Corporation Ayodhya,29-04-2023,Faizabad,Uttar Pradesh,15000 /month,Immediately,12 Months,1.0,25-05-2023,SOCIAL WORK Municipal Corporation Ayodhya Faizabad Uttar Pradesh 15000 /month 12 Months
1617,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,Nagar Palika Parishad Mirzapur,30-04-2023,Mirzapur,Uttar Pradesh,5000 /month,Immediately,8 Weeks,2.0,01-05-2023,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN Nagar Palika Parishad Mirzapur Mirzapur Uttar Pradesh 5000 /month 8 Weeks
1618,SBM INTERNSHIP,Full Time,NAGAR PANCHAYAT JIYANPUR AZAMGARH,30-04-2023,Azamgarh,Uttar Pradesh,12000 /month,Immediately,3 Months,11.0,30-04-2023,SBM INTERNSHIP NAGAR PANCHAYAT JIYANPUR AZAMGARH Azamgarh Uttar Pradesh 12000 /month 3 Months
1619,SBM URBAN INTERNSHIP,Full Time,NAGAR PANCHAYAT AMRAUDHA,30-04-2023,Akbarpur Mati,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,17-05-2023,SBM URBAN INTERNSHIP NAGAR PANCHAYAT AMRAUDHA Akbarpur Mati Uttar Pradesh Unpaid 1 Months
1620,SWACHH  BHARATH MISSION,Full Time,Nagar Panchayat Jarwal,30-04-2023,Bahraich,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,30-07-2024,SWACHH  BHARATH MISSION Nagar Panchayat Jarwal Bahraich Uttar Pradesh Unpaid 1 Months
1621,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION  URBAN,Part Time,NAGAR PANCHAYAT BARKHERA PILIBHIT,30-04-2023,Pilibhit,Uttar Pradesh,Unpaid,Immediately,12 Weeks,1.0,06-05-2023,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION  URBAN NAGAR PANCHAYAT BARKHERA PILIBHIT Pilibhit Uttar Pradesh Unpaid 12 Weeks
1622,HEALTH CONSULTANT,Part Time,Nagar Panchayat Purquazi,01-05-2023,Muzaffarnagar,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,30-05-2023,HEALTH CONSULTANT Nagar Panchayat Purquazi Muzaffarnagar Uttar Pradesh Unpaid 2 Months
1623,COMPUTER OPERATOR(INTERN),Part Time,ULB Faridpur,01-05-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,10-05-2023,COMPUTER OPERATOR(INTERN) ULB Faridpur Bareilly Uttar Pradesh Unpaid 1 Months
1624,"PUBLIC HEALTH, SANITATION CONSERVANCY AND SOLID WASTE MANAGEMENT.",Full Time,Nagar Palika Parishad Hapur,01-05-2023,Hapur,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,15-05-2023,"PUBLIC HEALTH, SANITATION CONSERVANCY AND SOLID WASTE MANAGEMENT. Nagar Palika Parishad Hapur Hapur Uttar Pradesh Unpaid 2 Months"
1625,DATA ANALYST (INTERN) IN SBM,Full Time,Nagar Panchayat Khetasarai,01-05-2023,Jaunpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,05-05-2023,DATA ANALYST (INTERN) IN SBM Nagar Panchayat Khetasarai Jaunpur Uttar Pradesh Unpaid 1 Months
1626,OFFICE WORK,Full Time,Nagar Panchayat Beswan Aligarh,01-05-2023,Beswan,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,10-07-2024,OFFICE WORK Nagar Panchayat Beswan Aligarh Beswan Uttar Pradesh Unpaid 2 Months
1627,IEC INTERN,Full Time,Nagar Palika Parishad Hapur,01-05-2023,Hapur,Uttar Pradesh,Unpaid,Immediately,2 Months,4.0,10-06-2023,IEC INTERN Nagar Palika Parishad Hapur Hapur Uttar Pradesh Unpaid 2 Months
1628,SBM INTERNSHIP FOR FARIDNAGAR,Full Time,Nagar Panchayat Faridnagar,01-05-2023,Modinagar,Uttar Pradesh,Unpaid,Immediately,2 Months,20.0,30-05-2023,SBM INTERNSHIP FOR FARIDNAGAR Nagar Panchayat Faridnagar Modinagar Uttar Pradesh Unpaid 2 Months
1629,COMPUTER OPERATOR,Part Time,NAGAR PALIKA PARISHAD BAHERI,01-05-2023,Baheri,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,20-05-2023,COMPUTER OPERATOR NAGAR PALIKA PARISHAD BAHERI Baheri Uttar Pradesh Unpaid 1 Months
1630,FINANCE AND ACCOUNTING,Full Time,Nagar Palika Parishad Sherkot,01-05-2023,Bijnore,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,15-05-2023,FINANCE AND ACCOUNTING Nagar Palika Parishad Sherkot Bijnore Uttar Pradesh Unpaid 2 Months
1631,DATA ANALYSIS AND MANAGEMENT INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,nagar palika parishad mongarabadshahpur,01-05-2023,Jaunpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,05-05-2023,DATA ANALYSIS AND MANAGEMENT INTERN FOR SWACHH BHARAT MISSION URBAN nagar palika parishad mongarabadshahpur Jaunpur Uttar Pradesh Unpaid 1 Months
1632,SWACCH BHARAT MISSION URBAN,Full Time,NAGAR PANCHAYAT BITHOOR,01-05-2023,Kanpur,Uttar Pradesh,Unpaid,Immediately,2 Months,2.0,31-05-2023,SWACCH BHARAT MISSION URBAN NAGAR PANCHAYAT BITHOOR Kanpur Uttar Pradesh Unpaid 2 Months
1633,HEALTH & SANITARY INSPECTOR,Full Time,NAGAR PALIKA PARISHAD PILKHUWA,01-05-2023,Hapur,Uttar Pradesh,Unpaid,Immediately,6 Months,1.0,27-02-2024,HEALTH & SANITARY INSPECTOR NAGAR PALIKA PARISHAD PILKHUWA Hapur Uttar Pradesh Unpaid 6 Months
1634,SWACCH BHARAT MISSION URBAN,Full Time,NP Sivrajpur,01-05-2023,Kanpur,Uttar Pradesh,Unpaid,Immediately,2 Months,2.0,31-05-2023,SWACCH BHARAT MISSION URBAN NP Sivrajpur Kanpur Uttar Pradesh Unpaid 2 Months
1635,MIS IT,Full Time,NAGAR PALIKA PARISHAD PILKHUWA,01-05-2023,Hapur,Uttar Pradesh,Unpaid,Immediately,6 Months,1.0,05-05-2023,MIS IT NAGAR PALIKA PARISHAD PILKHUWA Hapur Uttar Pradesh Unpaid 6 Months
1636,URBAN DEVELOPMENT INTERN,Full Time,nagar panchayat musafirkhana,01-05-2023,Amethi,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,02-05-2023,URBAN DEVELOPMENT INTERN nagar panchayat musafirkhana Amethi Uttar Pradesh Unpaid 1 Months
1637,SWACHH BHARAT MISSION,Full Time,Nagar Panchayat Risia,01-05-2023,Bahraich,Uttar Pradesh,Unpaid,Immediately,1 Months,1.0,30-05-2023,SWACHH BHARAT MISSION Nagar Panchayat Risia Bahraich Uttar Pradesh Unpaid 1 Months
1638,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Palika Prishad Afzalgarh,01-05-2023,Bijnore,Uttar Pradesh,Unpaid,Immediately,2 Months,2.0,17-05-2023,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN Nagar Palika Prishad Afzalgarh Bijnore Uttar Pradesh Unpaid 2 Months
1639,SWACHH BHARAT MISSION INTERNS,Part Time,Nagar palika parishad basti,01-05-2023,Basti,Uttar Pradesh,Unpaid,Immediately,2 Weeks,1.0,02-05-2023,SWACHH BHARAT MISSION INTERNS Nagar palika parishad basti Basti Uttar Pradesh Unpaid 2 Weeks
1640,MASTER TRAINER,Part Time,nagar panchayat faridpur,01-05-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2.0,15-05-2023,MASTER TRAINER nagar panchayat faridpur Bareilly Uttar Pradesh Unpaid 8 Weeks
1641,ENGAGEMENT OF INTERNS IN SAGAR MUNICIPAL CORPORATION FOR SWACHH SURVEKSHAN 2023 UNDER SWACHH TULIP PROGRAM OF SWACHH BHARAT MISSION (URBAN),Full Time,SAGAR MUNICIPAL CORPORATION,01-05-2023,Sagar,Madhya Pradesh,Unpaid,Immediately,2 Months,6.0,15-05-2023,ENGAGEMENT OF INTERNS IN SAGAR MUNICIPAL CORPORATION FOR SWACHH SURVEKSHAN 2023 UNDER SWACHH TULIP PROGRAM OF SWACHH BHARAT MISSION (URBAN) SAGAR MUNICIPAL CORPORATION Sagar Madhya Pradesh Unpaid 2 Months
1642,IEC INTERN,Part Time,Nagar Panchayat Narpatnagar Doondawala,01-05-2023,Rampur,Uttar Pradesh,Unpaid,Immediately,8 Weeks,1.0,15-05-2023,IEC INTERN Nagar Panchayat Narpatnagar Doondawala Rampur Uttar Pradesh Unpaid 8 Weeks
1643,SWACHH BHARAT MISSION INTERNS,Full Time,NAGAR PALIKA PARISHAD BILARI,01-05-2023,Bilari,Uttar Pradesh,Unpaid,Immediately,12 Months,5.0,15-11-2024,SWACHH BHARAT MISSION INTERNS NAGAR PALIKA PARISHAD BILARI Bilari Uttar Pradesh Unpaid 12 Months
1644,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,NAGAR PANCHAYAT RICHHA,01-05-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2.0,09-05-2023,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN NAGAR PANCHAYAT RICHHA Bareilly Uttar Pradesh Unpaid 8 Weeks
1645,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar palika parishad nawabganj Bareilly,01-05-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,8 Weeks,2.0,10-05-2023,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN Nagar palika parishad nawabganj Bareilly Bareilly Uttar Pradesh Unpaid 8 Weeks
1646,SWACHH BHARAT MISSION 2.0 INTERNS,Full Time,Nagar Palika Khurai,01-05-2023,Khurai,Madhya Pradesh,7000 /month,Immediately,2 Months,1.0,31-05-2023,SWACHH BHARAT MISSION 2.0 INTERNS Nagar Palika Khurai Khurai Madhya Pradesh 7000 /month 2 Months
1647,SWACHH BHARAT MISSION INTERNS,Full Time,NAGAR PANCHAYAT MAJHAULIRAJ,01-05-2023,Deoria,Uttar Pradesh,Unpaid,Immediately,2 Months,1.0,31-10-2024,SWACHH BHARAT MISSION INTERNS NAGAR PANCHAYAT MAJHAULIRAJ Deoria Uttar Pradesh Unpaid 2 Months
1648,INTERN(ENVIRONMENT),Full Time,Bareilly Municipal Corporation,02-05-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,3 Months,1.0,20-05-2023,INTERN(ENVIRONMENT) Bareilly Municipal Corporation Bareilly Uttar Pradesh Unpaid 3 Months
1649,INTERN REQUIRED IN ARCHITECTURE,Full Time,Bareilly Municipal Corporation,02-05-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,3 Months,2.0,21-05-2023,INTERN REQUIRED IN ARCHITECTURE Bareilly Municipal Corporation Bareilly Uttar Pradesh Unpaid 3 Months
1650,INTERNSHIP IN OFFICE MANAGEMENT,Full Time,Bareilly Municipal Corporation,02-05-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,3 Months,1.0,23-05-2023,INTERNSHIP IN OFFICE MANAGEMENT Bareilly Municipal Corporation Bareilly Uttar Pradesh Unpaid 3 Months
1651,LAW AND LEGAL INTERSHIP,Full Time,Bareilly Municipal Corporation,02-05-2023,Bareilly,Uttar Pradesh,Unpaid,Immediately,3 Months,2.0,22-05-2023,LAW AND LEGAL INTERSHIP Bareilly Municipal Corporation Bareilly Uttar Pradesh Unpaid 3 Months
